country_code,country_name,year,indicator_code,indicator_name,short_name,category,value
CHN,China,2010,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,47.4765519945183
CHN,China,2011,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,51.34994369566
CHN,China,2012,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,48.1207251131123
CHN,China,2013,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,58.4662215596184
CHN,China,2014,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,54.5688342973092
CHN,China,2015,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,50.832537964484
CHN,China,2016,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,46.8324682508133
CHN,China,2017,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,45.8369336166997
CHN,China,2018,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,40.2663875187565
CHN,China,2019,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,37.5475753654351
CHN,China,2020,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,34.8105237153218
FRA,France,2010,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,13.7778502943804
FRA,France,2011,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,13.7974719352463
FRA,France,2012,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,12.5585885208406
FRA,France,2013,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,12.4582922718332
FRA,France,2014,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,10.687674674804
FRA,France,2015,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,11.3442976642006
FRA,France,2016,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,10.508154814077
FRA,France,2017,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,10.4583123660264
FRA,France,2018,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,10.4599453286038
FRA,France,2019,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,9.82524600527018
FRA,France,2020,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,9.60038144780495
DEU,Germany,2010,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,16.201690204245
DEU,Germany,2011,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,15.7161711583543
DEU,Germany,2012,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,13.9078592571706
DEU,Germany,2013,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,13.6633968189434
DEU,Germany,2014,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,12.2822480920893
DEU,Germany,2015,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,12.8253525089793
DEU,Germany,2016,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,11.7806958987308
DEU,Germany,2017,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,11.8978451129639
DEU,Germany,2018,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,11.6526030992972
DEU,Germany,2019,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,10.6378495266542
DEU,Germany,2020,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,10.2876894329414
ISR,Israel,2010,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,24.5561552293902
ISR,Israel,2011,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,24.4804002133439
ISR,Israel,2012,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,22.1038555397058
ISR,Israel,2013,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",pm25_mean_exposure,Environmental / outcome,22.578207348874
